Wound,Injury,Coiled,Gash,Twisted,Bandage,Hard
Minute,Tiny,Sixty,Clock,Small,Second,Easy
Bow,Ribbon,Bend,Knot,Arrow,Curve,Easy
Live,Alive,Reside,Breath,Dwelling,Exist,Easy
Dove,Bird,Plunged,Peace,Dived,Wings,Medium
Read,Peruse,Studied,Book,Past,Pages,Easy
Record,Log,Album,Data,Music,Disc,Medium
Desert,Abandon,Arid,Heat,Leave,Sand,Medium
Produce,Create,Crops,Farm,Grow,Food,Easy
Console,Comfort,Panel,Soothe,Buttons,Gamer,Medium
Convict,Prisoner,Censure,Jail,Court,Guilty,Hard
Perfect,Flawless,Refine,Ideal,Improve,Polish,Easy
Permit,Allow,License,Let,Pass,Grant,Medium
Compact,Dense,Pact,Small,Deal,Tight,Medium
Contest,Rivalry,Challenge,Game,Oppose,Compete,Medium
Convert,Change,Defector,Transform,Turncoat,Faith,Hard
Digest,Absorb,Summary,Stomach,Break,Condense,Hard
Combine,Merge,Harvester,Blend,Machine,Join,Medium
Insult,Offend,Slur,Rude,Jab,Slight,Medium
Project,Plan,Emit,Scheme,Beam,Cast,Hard
Rebel,Revolt,Insurgent,Against,Defy,Mutiny,Medium
Recess,Break,Niche,School,Alcove,Pause,Medium
Suspect,Culprit,Doubt,Crime,Guilty,Mistrust,Hard
Transfer,Relocate,Shift,Movement,Job,Send,Medium
Transport,Haul,Vehicle,Carry,Truck,Move,Easy
Advocate,Lawyer,Promote,Court,Defend,Support,Medium
Alternate,Rotating,Swap,Every,Replace,Change,Medium
Appropriate,Seize,Suitable,Steal,Proper,Take,Hard
Articulate,Eloquent,Enunciate,Speak,Fluent,Clear,Hard
Associate,Partner,Connect,Join,Ally,Link,Medium
Attribute,Trait,Ascribe,Quality,Credit,Feature,Hard
Conduct,Behavior,Direct,Lead,Guide,Manners,Medium
Conserve,Preserve,Jam,Save,Fruit,Protect,Medium
Contrast,Difference,Compare,Opposite,Liken,Unlike,Medium
Deliberate,Intentional,Ponder,Purpose,Think,Weigh,Hard
Graduate,Alumni,Advance,School,Degree,Pass,Medium
Incline,Slope,Tend,Lean,Hill,Grade,Medium
Incense,Scent,Enrage,Burn,Smoke,Anger,Hard
Invalid,Void,Disabled,Null,Wheelchair,Cancel,Medium
Frequent,Regular,Visit,Often,Patron,Repeat,Medium
Intimate,Close,Imply,Private,Hint,Suggest,Hard
Moderate,Temperate,Mediate,Mild,Calm,Settle,Medium
Novel,Book,Original,Fiction,New,Story,Easy
Offense,Crime,Umbrage,Illegal,Hurt,Felony,Hard
Polish,Shine,Slavic,Wax,Gloss,European,Medium
Progress,Advance,Improve,Forward,Grow,Gain,Easy
Protest,Dissent,Rally,March,Against,Objection,Medium
Pupil,Student,Iris,Eye,School,Learn,Medium
Quiver,Shake,Arrows,Tremble,Case,Hold,Medium
Rail,Bar,Complain,Track,Gripe,Fence,Medium
Rank,Odorous,Position,Smell,Order,Tier,Medium
Rear,Back,Raise,Behind,Lift,Fend,Medium
Recall,Remember,Repeal,Memory,Cancel,Withdraw,Medium
Refund,Repay,Rebate,Money,Return,Cash,Easy
Regress,Revert,Decline,Back,Shrink,Retreat,Hard
Remark,Comment,Notice,Speak,See,Word,Easy
Remedy,Cure,Fix,Heal,Repair,Medicine,Easy
Remit,Send,Pardon,Money,Forgive,Payment,Hard
Remote,Distant,Clicker,Far,Control,Isolated,Easy
Remove,Delete,Relocate,Erase,Take,Away,Easy
Renew,Refresh,Extend,Again,Continue,Update,Easy
Rent,Lease,Tear,Pay,Rip,Landlord,Medium
Repair,Fix,Mend,Tools,Broken,Patch,Easy
Repeat,Duplicate,Echo,Again,Loop,Replay,Easy
Replace,Supersede,Return,Swap,Put,Change,Medium
Report,Account,Announce,News,Tell,Summary,Easy
Repress,Suppress,Oppress,Hold,Control,Silence,Hard
Reproduce,Copy,Breed,Duplicate,Procreate,Clone,Hard
Request,Ask,Petition,Plea,Beg,Demand,Easy
Reserve,Save,Book,Hold,Keep,Schedule,Medium
Resign,Quit,Accept,Job,Leave,Relent,Hard
Resist,Defy,Withstand,Oppose,Fight,Endure,Hard
Resolve,Settle,Determination,Decide,Solve,Firm,Medium
Resort,Retreat,Utilize,Vacation,Spa,Reserve,Medium
Retain,Keep,Hold,Employ,Store,Maintain,Medium
